source,Lake,Meand2H,SDd2H,n
Aq,Alajarvi,-181.4523709,23.568178436,24
Ter,Alajarvi,-113.95252,11.24911444,26
Aq,Alanne,-204.3207012,23.568178436,24
Ter,Alanne,-121.93307,11.24911444,26
Aq,Arkusjarvi,-220.5391905,23.568178436,24
Ter,Arkusjarvi,-124.1695496,11.24911444,26
Aq,Erajarvi,-170.2095201,23.568178436,24
Ter,Erajarvi,-113.75776,11.24911444,26
Aq,Haapajarvi,-202.9093868,23.568178436,24
Ter,Haapajarvi,-121.50852,11.24911444,26
Aq,Hameenjarvi,-185.4320986,23.568178436,24
Ter,Hameenjarvi,-114.8009,11.24911444,26
Aq,Hiidenvesi,-152.7682771,23.568178436,24
Ter,Hiidenvesi,-107.76078,11.24911444,26
Aq,Hirvijarvi,-203.5456703,23.568178436,24
Ter,Hirvijarvi,-114.93992,11.24911444,26
Aq,Horkajarvi,-142.5071129,23.568178436,24
Ter,Horkajarvi,-121.4700782,11.24911444,26
Aq,Joroisselka,-153.3400324,23.568178436,24
Ter,Joroisselka,-112.69943,11.24911444,26
Aq,Jyvasjarvi,-194.7726651,23.568178436,24
Ter,Jyvasjarvi,-124.09401,11.24911444,26
Aq,Kakkisenjarvi,-191.2552383,23.568178436,24
Ter,Kakkisenjarvi,-130.66291,11.24911444,26
Aq,Kakskerranjarvi,-158.0118785,23.568178436,24
Ter,Kakskerranjarvi,-131.77752,11.24911444,26
Aq,Koylionjarvi,-200.2761938,23.568178436,24
Ter,Koylionjarvi,-129.14445,11.24911444,26
Aq,Kuhajarvi,-187.2659724,23.568178436,24
Ter,Kuhajarvi,-134.79843,11.24911444,26
Aq,Kuontijarvi,-186.0405419,23.568178436,24
Ter,Kuontijarvi,-142.46341,11.24911444,26
Aq,Majajarvi,-176.7680455,23.568178436,24
Ter,Majajarvi,-121.47008,11.24911444,26
Aq,Niemisjarvi,-194.4016691,23.568178436,24
Ter,Niemisjarvi,-116.15234,11.24911444,26
Aq,Paajarvi,-221.0771894,23.568178436,24
Ter,Paajarvi,-119.96635,11.24911444,26
Aq,Pankajarvi,-201.2610854,23.568178436,24
Ter,Pankajarvi,-116.21428,11.24911444,26
Aq,Pesosjarvi,-189.3702142,23.568178436,24
Ter,Pesosjarvi,-133.41737,11.24911444,26
Aq,Pusulanjarvi,-141.1266899,23.568178436,24
Ter,Pusulanjarvi,-110.11118,11.24911444,26
Aq,Pyhajarvi,-201.8184445,23.568178436,24
Ter,Pyhajarvi,-113.65154,11.24911444,26
Aq,Ruokojarvi,-185.7535365,23.568178436,24
Ter,Ruokojarvi,-135.34955,11.24911444,26
Aq,Saaksjarvi,-175.1275408,23.568178436,24
Ter,Saaksjarvi,-117.4659467,11.24911444,26
Aq,Saaskjarvi,-148.3569505,23.568178436,24
Ter,Saaskjarvi,-108.57592,11.24911444,26
Aq,Suuri-Vahvanen,-184.6553704,23.568178436,24
Ter,Suuri-Vahvanen,-114.95399,11.24911444,26
Aq,Suuri Jukajarvi,-197.3594394,23.568178436,24
Ter,Suuri Jukajarvi,-124.16955,11.24911444,26
Aq,Tottijarvi,-131.1880948,23.568178436,24
Ter,Tottijarvi,-109.67851,11.24911444,26
Aq,Valkea-Kotinen,-195.3198371,23.568178436,24
Ter,Valkea-Kotinen,-121.4700782,11.24911444,26
Aq,Vesijarvi,-160.825762,23.568178436,24
Ter,Vesijarvi,-105.77849,11.24911444,26
Aq,Viippero,-172.042141,23.568178436,24
Ter,Viippero,-126.36413,11.24911444,26
Aq,Viitaanjarvi,-213.3253782,23.568178436,24
Ter,Viitaanjarvi,-127.75703,11.24911444,26
Aq,Villikkalanjarvi,-192.7297472,23.568178436,24
Ter,Villikkalanjarvi,-109.3025,11.24911444,26
Aq,Ylisjarvi,-209.8190921,23.568178436,24
Ter,Ylisjarvi,-127.79869,11.24911444,26
